date_key,date_string,year,month,day,weekday,weekend,holiday,fiscal_quarter,season
1,2023-01-01,2023,1,1,Sun,Yes,New Year's Day,Q1,winter
2,2023-01-02,2023,1,2,Mon,No,New Year's Day (substitute day),Q1,winter
3,2023-01-03,2023,1,3,Tue,No,No,Q1,winter
4,2023-01-04,2023,1,4,Wed,No,No,Q1,winter
5,2023-01-05,2023,1,5,Thu,No,No,Q1,winter
6,2023-01-06,2023,1,6,Fri,No,No,Q1,winter
7,2023-01-07,2023,1,7,Sat,Yes,No,Q1,winter
8,2023-01-08,2023,1,8,Sun,Yes,No,Q1,winter
9,2023-01-09,2023,1,9,Mon,No,No,Q1,winter
10,2023-01-10,2023,1,10,Tue,No,No,Q1,winter
11,2023-01-11,2023,1,11,Wed,No,No,Q1,winter
12,2023-01-12,2023,1,12,Thu,No,No,Q1,winter
13,2023-01-13,2023,1,13,Fri,No,No,Q1,winter
14,2023-01-14,2023,1,14,Sat,Yes,No,Q1,winter
15,2023-01-15,2023,1,15,Sun,Yes,No,Q1,winter
16,2023-01-16,2023,1,16,Mon,No,Martin Luther King Jr. Day,Q1,winter
17,2023-01-17,2023,1,17,Tue,No,No,Q1,winter
18,2023-01-18,2023,1,18,Wed,No,No,Q1,winter
19,2023-01-19,2023,1,19,Thu,No,No,Q1,winter
20,2023-01-20,2023,1,20,Fri,No,No,Q1,winter
21,2023-01-21,2023,1,21,Sat,Yes,No,Q1,winter
22,2023-01-22,2023,1,22,Sun,Yes,No,Q1,winter
23,2023-01-23,2023,1,23,Mon,No,No,Q1,winter
24,2023-01-24,2023,1,24,Tue,No,No,Q1,winter
25,2023-01-25,2023,1,25,Wed,No,No,Q1,winter
26,2023-01-26,2023,1,26,Thu,No,No,Q1,winter
27,2023-01-27,2023,1,27,Fri,No,No,Q1,winter
28,2023-01-28,2023,1,28,Sat,Yes,No,Q1,winter
29,2023-01-29,2023,1,29,Sun,Yes,No,Q1,winter
30,2023-01-30,2023,1,30,Mon,No,No,Q1,winter
31,2023-01-31,2023,1,31,Tue,No,No,Q1,winter
32,2023-02-01,2023,2,1,Wed,No,No,Q1,winter
33,2023-02-02,2023,2,2,Thu,No,No,Q1,winter
34,2023-02-03,2023,2,3,Fri,No,No,Q1,winter
35,2023-02-04,2023,2,4,Sat,Yes,No,Q1,winter
36,2023-02-05,2023,2,5,Sun,Yes,No,Q1,winter
37,2023-02-06,2023,2,6,Mon,No,No,Q1,winter
38,2023-02-07,2023,2,7,Tue,No,No,Q1,winter
39,2023-02-08,2023,2,8,Wed,No,No,Q1,winter
40,2023-02-09,2023,2,9,Thu,No,No,Q1,winter
41,2023-02-10,2023,2,10,Fri,No,No,Q1,winter
42,2023-02-11,2023,2,11,Sat,Yes,No,Q1,winter
43,2023-02-12,2023,2,12,Sun,Yes,No,Q1,winter
44,2023-02-13,2023,2,13,Mon,No,No,Q1,winter
45,2023-02-14,2023,2,14,Tue,No,Valentine's Day,Q1,winter
46,2023-02-15,2023,2,15,Wed,No,No,Q1,winter
